method,link_alpha,link_position_penalty,split,top_k,n,sufficient_count,insufficient_count,sufficient_rate,answer_present_in_returned_docs_rate,mean_support_title_coverage,mean_linked_doc_count_topk,questions_with_no_hits,selected_by_valid
link_bridge_a0p85_p0p06,0.85,0.06,test,50,1112,949,163,0.8534172661870504,0.8947841726618705,0.9064748201438849,18.660971223021583,0,0
link_bridge_a1p00_p0p00,1.0,0.0,valid,5,1110,435,675,0.3918918918918919,0.6405405405405405,0.586036036036036,3.8252252252252252,0,0
link_bridge_a1p00_p0p00,1.0,0.0,valid,10,1110,690,420,0.6216216216216216,0.7693693693693694,0.7432432432432432,7.826126126126126,0,0
link_bridge_a1p00_p0p00,1.0,0.0,valid,20,1110,828,282,0.745945945945946,0.8387387387387387,0.8256756756756757,15.374774774774774,0,0
link_bridge_a1p00_p0p00,1.0,0.0,valid,50,1110,916,194,0.8252252252252252,0.8936936936936937,0.8873873873873874,29.934234234234236,0,0
link_bridge_a1p00_p0p00,1.0,0.0,test,5,1112,462,650,0.4154676258992806,0.6555755395683454,0.6061151079136691,3.824640287769784,0,0
link_bridge_a1p00_p0p00,1.0,0.0,test,10,1112,709,403,0.637589928057554,0.7787769784172662,0.7580935251798561,7.829136690647482,0,0
link_bridge_a1p00_p0p00,1.0,0.0,test,20,1112,838,274,0.7535971223021583,0.8444244604316546,0.8327338129496403,15.35431654676259,0,0
link_bridge_a1p00_p0p00,1.0,0.0,test,50,1112,949,163,0.8534172661870504,0.89568345323741,0.9037769784172662,29.95863309352518,0,0
link_bridge_a1p00_p0p03,1.0,0.03,valid,5,1110,436,674,0.3927927927927928,0.6360360360360361,0.5977477477477477,3.754954954954955,0,0
link_bridge_a1p00_p0p03,1.0,0.03,valid,10,1110,684,426,0.6162162162162163,0.7675675675675676,0.7432432432432432,7.74954954954955,0,0
link_bridge_a1p00_p0p03,1.0,0.03,valid,20,1110,828,282,0.745945945945946,0.8378378378378378,0.8256756756756757,15.21981981981982,0,0
link_bridge_a1p00_p0p03,1.0,0.03,valid,50,1110,915,195,0.8243243243243243,0.8936936936936937,0.886936936936937,29.82882882882883,0,0
link_bridge_a1p00_p0p03,1.0,0.03,test,5,1112,446,666,0.4010791366906475,0.6384892086330936,0.6065647482014388,3.768884892086331,0,0
link_bridge_a1p00_p0p03,1.0,0.03,test,10,1112,701,411,0.6303956834532374,0.7796762589928058,0.7558453237410072,7.738309352517986,0,0
link_bridge_a1p00_p0p03,1.0,0.03,test,20,1112,840,272,0.7553956834532374,0.8435251798561151,0.8336330935251799,15.211330935251798,0,0
link_bridge_a1p00_p0p03,1.0,0.03,test,50,1112,948,164,0.8525179856115108,0.8947841726618705,0.9037769784172662,29.840827338129497,0,0
link_bridge_a1p00_p0p06,1.0,0.06,valid,5,1110,427,683,0.3846846846846847,0.6315315315315315,0.5990990990990991,3.6954954954954955,0,0
link_bridge_a1p00_p0p06,1.0,0.06,valid,10,1110,689,421,0.6207207207207207,0.7666666666666667,0.745945945945946,7.647747747747748,0,0
link_bridge_a1p00_p0p06,1.0,0.06,valid,20,1110,830,280,0.7477477477477478,0.8378378378378378,0.827027027027027,15.021621621621621,0,0
link_bridge_a1p00_p0p06,1.0,0.06,valid,50,1110,914,196,0.8234234234234235,0.8936936936936937,0.8864864864864865,29.703603603603604,0,0
link_bridge_a1p00_p0p06,1.0,0.06,test,5,1112,451,661,0.4055755395683453,0.6447841726618705,0.6200539568345323,3.693345323741007,0,0
link_bridge_a1p00_p0p06,1.0,0.06,test,10,1112,706,406,0.6348920863309353,0.783273381294964,0.7594424460431655,7.637589928057554,0,0
link_bridge_a1p00_p0p06,1.0,0.06,test,20,1112,848,264,0.762589928057554,0.8480215827338129,0.8367805755395683,15.026978417266188,0,0
link_bridge_a1p00_p0p06,1.0,0.06,test,50,1112,949,163,0.8534172661870504,0.8947841726618705,0.904226618705036,29.70773381294964,0,0
link_bridge_a1p15_p0p00,1.15,0.0,valid,5,1110,193,917,0.17387387387387387,0.572972972972973,0.3801801801801802,4.7144144144144144,0,0
link_bridge_a1p15_p0p00,1.15,0.0,valid,10,1110,487,623,0.43873873873873875,0.7243243243243244,0.6108108108108108,9.250450450450451,0,0
link_bridge_a1p15_p0p00,1.15,0.0,valid,20,1110,706,404,0.6360360360360361,0.8198198198198198,0.7612612612612613,18.163063063063063,0,0
link_bridge_a1p15_p0p00,1.15,0.0,valid,50,1110,908,202,0.818018018018018,0.8936936936936937,0.8828828828828829,30.71891891891892,0,0
link_bridge_a1p15_p0p00,1.15,0.0,test,5,1112,192,920,0.17266187050359713,0.5962230215827338,0.39388489208633093,4.724820143884892,0,0
link_bridge_a1p15_p0p00,1.15,0.0,test,10,1112,498,614,0.447841726618705,0.7544964028776978,0.6290467625899281,9.231115107913668,0,0
link_bridge_a1p15_p0p00,1.15,0.0,test,20,1112,726,386,0.6528776978417267,0.829136690647482,0.7715827338129496,18.133093525179856,0,0
link_bridge_a1p15_p0p00,1.15,0.0,test,50,1112,936,176,0.841726618705036,0.89568345323741,0.8965827338129496,30.804856115107913,0,0
link_bridge_a1p15_p0p03,1.15,0.03,valid,5,1110,194,916,0.17477477477477477,0.5621621621621622,0.3747747747747748,4.713513513513513,0,0
link_bridge_a1p15_p0p03,1.15,0.03,valid,10,1110,489,621,0.44054054054054054,0.718018018018018,0.6067567567567568,9.240540540540541,0,0
link_bridge_a1p15_p0p03,1.15,0.03,valid,20,1110,704,406,0.6342342342342342,0.8171171171171171,0.7599099099099099,18.13963963963964,0,0
link_bridge_a1p15_p0p03,1.15,0.03,valid,50,1110,908,202,0.818018018018018,0.8936936936936937,0.8828828828828829,30.70900900900901,0,0
link_bridge_a1p15_p0p03,1.15,0.03,test,5,1112,196,916,0.17625899280575538,0.5827338129496403,0.381294964028777,4.722122302158273,0,0
link_bridge_a1p15_p0p03,1.15,0.03,test,10,1112,504,608,0.45323741007194246,0.7464028776978417,0.625,9.215827338129497,0,0
link_bridge_a1p15_p0p03,1.15,0.03,test,20,1112,727,385,0.6537769784172662,0.8309352517985612,0.7720323741007195,18.105215827338128,0,0
link_bridge_a1p15_p0p03,1.15,0.03,test,50,1112,938,174,0.8435251798561151,0.89568345323741,0.8974820143884892,30.78956834532374,0,0
link_bridge_a1p15_p0p06,1.15,0.06,valid,5,1110,194,916,0.17477477477477477,0.5495495495495496,0.36711711711711714,4.711711711711712,0,0
link_bridge_a1p15_p0p06,1.15,0.06,valid,10,1110,492,618,0.44324324324324327,0.7171171171171171,0.6085585585585586,9.227027027027027,0,0
link_bridge_a1p15_p0p06,1.15,0.06,valid,20,1110,704,406,0.6342342342342342,0.8162162162162162,0.7594594594594595,18.111711711711713,0,0
link_bridge_a1p15_p0p06,1.15,0.06,valid,50,1110,908,202,0.818018018018018,0.8936936936936937,0.8828828828828829,30.7009009009009,0,0
link_bridge_a1p15_p0p06,1.15,0.06,test,5,1112,195,917,0.17535971223021582,0.5782374100719424,0.37859712230215825,4.719424460431655,0,0
link_bridge_a1p15_p0p06,1.15,0.06,test,10,1112,505,607,0.454136690647482,0.7464028776978417,0.6245503597122302,9.20593525179856,0,0
link_bridge_a1p15_p0p06,1.15,0.06,test,20,1112,729,383,0.6555755395683454,0.8300359712230215,0.7724820143884892,18.08363309352518,0,0
link_bridge_a1p15_p0p06,1.15,0.06,test,50,1112,939,173,0.8444244604316546,0.89568345323741,0.897931654676259,30.774280575539567,0,0
