method,link_alpha,link_position_penalty,split,top_k,n,sufficient_count,insufficient_count,sufficient_rate,answer_present_in_returned_docs_rate,mean_support_title_coverage,mean_linked_doc_count_topk,questions_with_no_hits
link_bridge_a0p70_p0p06,0.7,0.06,valid,10,1110,653,457,0.5882882882882883,0.7522522522522522,0.7445945945945946,2.9594594594594597,0
link_bridge_a0p70_p0p06,0.7,0.06,valid,20,1110,776,334,0.6990990990990991,0.8261261261261261,0.8117117117117117,4.685585585585586,0
link_bridge_a0p70_p0p06,0.7,0.06,valid,50,1110,874,236,0.7873873873873873,0.8783783783783784,0.8729729729729729,8.17927927927928,0
link_bridge_a0p70_p0p06,0.7,0.06,test,5,1112,471,641,0.42356115107913667,0.6366906474820144,0.6470323741007195,1.3857913669064748,0
link_bridge_a0p70_p0p06,0.7,0.06,test,10,1112,667,445,0.5998201438848921,0.7446043165467626,0.7540467625899281,2.973021582733813,0
link_bridge_a0p70_p0p06,0.7,0.06,test,20,1112,802,310,0.7212230215827338,0.8210431654676259,0.8313848920863309,4.767985611510792,0
link_bridge_a0p70_p0p06,0.7,0.06,test,50,1112,906,206,0.814748201438849,0.8776978417266187,0.8880395683453237,8.151079136690647,0
link_bridge_a0p70_p0p06,0.7,0.06,all,5,7405,3132,4273,0.4229574611748818,0.6468602295746118,0.6513841998649561,1.350979068197164,0
link_bridge_a0p70_p0p06,0.7,0.06,all,10,7405,4380,3025,0.5914922349763673,0.7547602970965563,0.7523295070898042,2.8819716407832545,0
link_bridge_a0p70_p0p06,0.7,0.06,all,20,7405,5239,2166,0.7074949358541526,0.824172856178258,0.8238352464550979,4.739635381498987,0
link_bridge_a0p70_p0p06,0.7,0.06,all,50,7405,5950,1455,0.8035111411208643,0.8775151924375422,0.8832545577312627,8.459014179608372,0
link_bridge_a0p85_p0p00,0.85,0.0,train,5,5183,2464,2719,0.47540034728921476,0.6955431217441637,0.6776963148755547,2.4528265483310823,0
link_bridge_a0p85_p0p00,0.85,0.0,train,10,5183,3390,1793,0.6540613544279374,0.7995369477136793,0.7819795485240209,5.095504534053637,0
link_bridge_a0p85_p0p00,0.85,0.0,train,20,5183,3962,1221,0.7644221493343624,0.8605054987459001,0.8524985529616053,9.236156666023538,0
link_bridge_a0p85_p0p00,0.85,0.0,train,50,5183,4347,836,0.8387034535983021,0.8979355585568204,0.9003472892147405,19.901215512251593,0
link_bridge_a0p85_p0p00,0.85,0.0,valid,5,1110,495,615,0.44594594594594594,0.6711711711711712,0.6549549549549549,2.443243243243243,0
link_bridge_a0p85_p0p00,0.85,0.0,valid,10,1110,697,413,0.627927927927928,0.7828828828828829,0.7657657657657657,5.031531531531532,0
link_bridge_a0p85_p0p00,0.85,0.0,valid,20,1110,826,284,0.7441441441441441,0.845945945945946,0.8346846846846847,9.021621621621621,0
link_bridge_a0p85_p0p00,0.85,0.0,valid,50,1110,919,191,0.8279279279279279,0.9009009009009009,0.8905405405405405,19.454954954954953,0
link_bridge_a0p85_p0p00,0.85,0.0,test,5,1112,522,590,0.4694244604316547,0.6690647482014388,0.6672661870503597,2.4694244604316546,0
link_bridge_a0p85_p0p00,0.85,0.0,test,10,1112,738,374,0.6636690647482014,0.789568345323741,0.7841726618705036,5.08273381294964,0
link_bridge_a0p85_p0p00,0.85,0.0,test,20,1112,858,254,0.7715827338129496,0.8525179856115108,0.8525179856115108,8.982014388489208,0
link_bridge_a0p85_p0p00,0.85,0.0,test,50,1112,951,161,0.8552158273381295,0.89568345323741,0.9073741007194245,19.514388489208635,0
link_bridge_a0p85_p0p00,0.85,0.0,all,5,7405,3481,3924,0.4700877785280216,0.687913571910871,0.6727211343686699,2.45388251181634,0
link_bridge_a0p85_p0p00,0.85,0.0,all,10,7405,4825,2580,0.6515867656988521,0.7955435516542877,0.7798784604996624,5.083997299122215,0
link_bridge_a0p85_p0p00,0.85,0.0,all,20,7405,5646,1759,0.762457798784605,0.8571235651586766,0.84983119513842,9.165833896016204,0
link_bridge_a0p85_p0p00,0.85,0.0,all,50,7405,6217,1188,0.8395678595543552,0.8980418636056718,0.899932478055368,19.776232275489534,0
link_bridge_a0p85_p0p03,0.85,0.03,train,5,5183,2359,2824,0.4551418097626857,0.6824233069650781,0.6670846999807062,2.4331468261624543,0
link_bridge_a0p85_p0p03,0.85,0.03,train,10,5183,3344,1839,0.6451861856067914,0.7956781786610071,0.777927841018715,5.039938259695157,0
link_bridge_a0p85_p0p03,0.85,0.03,train,20,5183,3949,1234,0.7619139494501254,0.8597337449353656,0.8514373914721204,9.103415010611615,0
link_bridge_a0p85_p0p03,0.85,0.03,train,50,5183,4350,833,0.839282268956203,0.898128497009454,0.9006366968936909,19.474821531931315,0
link_bridge_a0p85_p0p03,0.85,0.03,valid,5,1110,477,633,0.4297297297297297,0.6612612612612613,0.6468468468468469,2.4297297297297296,0
link_bridge_a0p85_p0p03,0.85,0.03,valid,10,1110,685,425,0.6171171171171171,0.7765765765765765,0.7594594594594595,4.978378378378379,0
link_bridge_a0p85_p0p03,0.85,0.03,valid,20,1110,823,287,0.7414414414414414,0.8468468468468469,0.8333333333333334,8.878378378378379,0
link_bridge_a0p85_p0p03,0.85,0.03,valid,50,1110,917,193,0.8261261261261261,0.8990990990990991,0.8896396396396397,19.036936936936936,0
link_bridge_a0p85_p0p03,0.85,0.03,test,5,1112,496,616,0.4460431654676259,0.6564748201438849,0.6551258992805755,2.45773381294964,0
link_bridge_a0p85_p0p03,0.85,0.03,test,10,1112,722,390,0.6492805755395683,0.7877697841726619,0.7769784172661871,5.04046762589928,0
link_bridge_a0p85_p0p03,0.85,0.03,test,20,1112,858,254,0.7715827338129496,0.8516187050359713,0.8529676258992805,8.832733812949641,0
link_bridge_a0p85_p0p03,0.85,0.03,test,50,1112,951,161,0.8552158273381295,0.8965827338129496,0.9073741007194245,19.10161870503597,0
link_bridge_a0p85_p0p03,0.85,0.03,all,5,7405,3332,4073,0.449966239027684,0.675354490209318,0.662255232950709,2.4363268062120187,0
link_bridge_a0p85_p0p03,0.85,0.03,all,10,7405,4751,2654,0.6415935178933153,0.7916272788656313,0.775016880486158,5.030790006752195,0
link_bridge_a0p85_p0p03,0.85,0.03,all,20,7405,5630,1775,0.7602970965563808,0.8565833896016205,0.8489534098582039,9.029034436191763,0
link_bridge_a0p85_p0p03,0.85,0.03,all,50,7405,6218,1187,0.8397029034436192,0.8980418636056718,0.9,19.35313977042539,0
link_bridge_a0p85_p0p06,0.85,0.06,train,5,5183,2320,2863,0.4476172101099749,0.6791433532703067,0.663708277059618,2.415010611614895,0
link_bridge_a0p85_p0p06,0.85,0.06,train,10,5183,3329,1854,0.6422921088172873,0.7922052865136021,0.7765772718502798,4.9874590005788155,0
link_bridge_a0p85_p0p06,0.85,0.06,train,20,5183,3936,1247,0.7594057495658885,0.857611421956396,0.8503762299826355,8.96044761721011,0
link_bridge_a0p85_p0p06,0.85,0.06,train,50,5183,4352,831,0.8396681458614702,0.8977426201041868,0.9008296353463245,19.066370827705963,0
link_bridge_a0p85_p0p06,0.85,0.06,valid,5,1110,462,648,0.41621621621621624,0.6531531531531531,0.6396396396396397,2.4153153153153153,0
link_bridge_a0p85_p0p06,0.85,0.06,valid,10,1110,683,427,0.6153153153153154,0.7756756756756756,0.7585585585585586,4.921621621621622,0
link_bridge_a0p85_p0p06,0.85,0.06,valid,20,1110,825,285,0.7432432432432432,0.8468468468468469,0.8342342342342343,8.744144144144144,0
link_bridge_a0p85_p0p06,0.85,0.06,valid,50,1110,915,195,0.8243243243243243,0.8990990990990991,0.8882882882882883,18.622522522522523,0
link_bridge_a0p85_p0p06,0.85,0.06,test,5,1112,490,622,0.44064748201438847,0.6546762589928058,0.6533273381294964,2.4379496402877696,0
link_bridge_a0p85_p0p06,0.85,0.06,test,10,1112,718,394,0.64568345323741,0.7868705035971223,0.7751798561151079,4.987410071942446,0
link_bridge_a0p85_p0p06,0.85,0.06,test,20,1112,854,258,0.7679856115107914,0.8507194244604317,0.8511690647482014,8.696942446043165,0
link_bridge_a0p85_p0p06,0.85,0.06,test,50,1112,949,163,0.8534172661870504,0.8947841726618705,0.9064748201438849,18.660971223021583,0
link_bridge_a0p85_p0p06,0.85,0.06,all,5,7405,3272,4133,0.44186360567184335,0.6715732613099257,0.6585415259959487,2.4185010128291693,0
link_bridge_a0p85_p0p06,0.85,0.06,all,10,7405,4730,2675,0.6387575962187712,0.7889264010803512,0.7736664415935179,4.977582714382174,0
link_bridge_a0p85_p0p06,0.85,0.06,all,20,7405,5615,1790,0.7582714382174207,0.8549628629304524,0.8480756245779878,8.888453747467928,0
link_bridge_a0p85_p0p06,0.85,0.06,all,50,7405,6216,1189,0.8394328156650912,0.8975016880486159,0.899797434166104,18.938960162052666,0
link_bridge_a1p00_p0p00,1.0,0.0,train,5,5183,2178,3005,0.4202199498360023,0.6708469998070615,0.6162454177117499,3.8230754389349797,0
link_bridge_a1p00_p0p00,1.0,0.0,train,10,5183,3291,1892,0.6349604476172102,0.7910476557978005,0.7572834265869187,7.846035114798379,0
link_bridge_a1p00_p0p00,1.0,0.0,train,20,5183,3893,1290,0.7511093961026433,0.8483503762299827,0.8329153000192938,15.475207408836582,0
link_bridge_a1p00_p0p00,1.0,0.0,train,50,5183,4363,820,0.84179046884044,0.8992861277252556,0.8978390893305036,30.176731622612387,0
link_bridge_a1p00_p0p00,1.0,0.0,valid,5,1110,435,675,0.3918918918918919,0.6405405405405405,0.586036036036036,3.8252252252252252,0
link_bridge_a1p00_p0p00,1.0,0.0,valid,10,1110,690,420,0.6216216216216216,0.7693693693693694,0.7432432432432432,7.826126126126126,0
link_bridge_a1p00_p0p00,1.0,0.0,valid,20,1110,828,282,0.745945945945946,0.8387387387387387,0.8256756756756757,15.374774774774774,0
link_bridge_a1p00_p0p00,1.0,0.0,valid,50,1110,916,194,0.8252252252252252,0.8936936936936937,0.8873873873873874,29.934234234234236,0
link_bridge_a1p00_p0p00,1.0,0.0,test,5,1112,462,650,0.4154676258992806,0.6555755395683454,0.6061151079136691,3.824640287769784,0
link_bridge_a1p00_p0p00,1.0,0.0,test,10,1112,709,403,0.637589928057554,0.7787769784172662,0.7580935251798561,7.829136690647482,0
link_bridge_a1p00_p0p00,1.0,0.0,test,20,1112,838,274,0.7535971223021583,0.8444244604316546,0.8327338129496403,15.35431654676259,0
link_bridge_a1p00_p0p00,1.0,0.0,test,50,1112,949,163,0.8534172661870504,0.89568345323741,0.9037769784172662,29.95863309352518,0
link_bridge_a1p00_p0p00,1.0,0.0,all,5,7405,3075,4330,0.4152599594868332,0.6640108035111412,0.6101958136394328,3.823632680621202,0
link_bridge_a1p00_p0p00,1.0,0.0,all,10,7405,4690,2715,0.6333558406482107,0.7859554355165429,0.7553004726536124,7.840513166779203,0
link_bridge_a1p00_p0p00,1.0,0.0,all,20,7405,5559,1846,0.7507089804186361,0.8463200540175557,0.8318028359216746,15.441998649561107,0
link_bridge_a1p00_p0p00,1.0,0.0,all,50,7405,6228,1177,0.8410533423362593,0.8979068197164078,0.8971640783254557,30.107629979743418,0
link_bridge_a1p00_p0p03,1.0,0.03,train,5,5183,2128,3055,0.4105730272043218,0.6608142002701138,0.6189465560486205,3.765772718502798,0
link_bridge_a1p00_p0p03,1.0,0.03,train,10,5183,3281,1902,0.633031063090874,0.7889253328188308,0.75815164962377,7.775033764229211,0
link_bridge_a1p00_p0p03,1.0,0.03,train,20,5183,3898,1285,0.7520740883658114,0.8485433146826162,0.8341693999614123,15.322207215898128,0
link_bridge_a1p00_p0p03,1.0,0.03,train,50,5183,4363,820,0.84179046884044,0.899093189272622,0.8979355585568204,30.07582481188501,0
link_bridge_a1p00_p0p03,1.0,0.03,valid,5,1110,436,674,0.3927927927927928,0.6360360360360361,0.5977477477477477,3.754954954954955,0
link_bridge_a1p00_p0p03,1.0,0.03,valid,10,1110,684,426,0.6162162162162163,0.7675675675675676,0.7432432432432432,7.74954954954955,0
link_bridge_a1p00_p0p03,1.0,0.03,valid,20,1110,828,282,0.745945945945946,0.8378378378378378,0.8256756756756757,15.21981981981982,0
link_bridge_a1p00_p0p03,1.0,0.03,valid,50,1110,915,195,0.8243243243243243,0.8936936936936937,0.886936936936937,29.82882882882883,0
link_bridge_a1p00_p0p03,1.0,0.03,test,5,1112,446,666,0.4010791366906475,0.6384892086330936,0.6065647482014388,3.768884892086331,0
link_bridge_a1p00_p0p03,1.0,0.03,test,10,1112,701,411,0.6303956834532374,0.7796762589928058,0.7558453237410072,7.738309352517986,0
link_bridge_a1p00_p0p03,1.0,0.03,test,20,1112,840,272,0.7553956834532374,0.8435251798561151,0.8336330935251799,15.211330935251798,0
link_bridge_a1p00_p0p03,1.0,0.03,test,50,1112,948,164,0.8525179856115108,0.8947841726618705,0.9037769784172662,29.840827338129497,0
link_bridge_a1p00_p0p03,1.0,0.03,all,5,7405,3010,4395,0.4064821066846725,0.6537474679270763,0.6139095205941931,3.764618501012829,0
link_bridge_a1p00_p0p03,1.0,0.03,all,10,7405,4666,2739,0.6301147873058744,0.7843349088453747,0.7555705604321404,7.765698852126941,0
link_bridge_a1p00_p0p03,1.0,0.03,all,20,7405,5566,1839,0.7516542876434842,0.8461850101282917,0.8328156650911547,15.29020931802836,0
link_bridge_a1p00_p0p03,1.0,0.03,all,50,7405,6226,1179,0.8407832545577313,0.8976367319378799,0.8971640783254557,30.003511141120864,0
link_bridge_a1p00_p0p06,1.0,0.06,train,5,5183,2134,3049,0.4117306579201235,0.6615859540806482,0.6244453019486784,3.7069264904495465,0
link_bridge_a1p00_p0p06,1.0,0.06,train,10,5183,3287,1896,0.6341886938066756,0.7875747636503955,0.7596951572448389,7.690333783523056,0
link_bridge_a1p00_p0p06,1.0,0.06,train,20,5183,3905,1278,0.7534246575342466,0.8493150684931506,0.8352305614508971,15.15010611614895,0
link_bridge_a1p00_p0p06,1.0,0.06,train,50,5183,4365,818,0.8421763457457071,0.8994790661778893,0.898128497009454,29.93961026432568,0
link_bridge_a1p00_p0p06,1.0,0.06,valid,5,1110,427,683,0.3846846846846847,0.6315315315315315,0.5990990990990991,3.6954954954954955,0
link_bridge_a1p00_p0p06,1.0,0.06,valid,10,1110,689,421,0.6207207207207207,0.7666666666666667,0.745945945945946,7.647747747747748,0
link_bridge_a1p00_p0p06,1.0,0.06,valid,20,1110,830,280,0.7477477477477478,0.8378378378378378,0.827027027027027,15.021621621621621,0
link_bridge_a1p00_p0p06,1.0,0.06,valid,50,1110,914,196,0.8234234234234235,0.8936936936936937,0.8864864864864865,29.703603603603604,0
link_bridge_a1p00_p0p06,1.0,0.06,test,5,1112,451,661,0.4055755395683453,0.6447841726618705,0.6200539568345323,3.693345323741007,0
link_bridge_a1p00_p0p06,1.0,0.06,test,10,1112,706,406,0.6348920863309353,0.783273381294964,0.7594424460431655,7.637589928057554,0
link_bridge_a1p00_p0p06,1.0,0.06,test,20,1112,848,264,0.762589928057554,0.8480215827338129,0.8367805755395683,15.026978417266188,0
link_bridge_a1p00_p0p06,1.0,0.06,test,50,1112,949,163,0.8534172661870504,0.8947841726618705,0.904226618705036,29.70773381294964,0
link_bridge_a1p00_p0p06,1.0,0.06,all,5,7405,3012,4393,0.40675219446320054,0.6545577312626604,0.6199864956110736,3.703173531397704,0
link_bridge_a1p00_p0p06,1.0,0.06,all,10,7405,4682,2723,0.6322754895340986,0.7837947332883187,0.7575962187711006,7.676029709655638,0
link_bridge_a1p00_p0p06,1.0,0.06,all,20,7405,5583,1822,0.7539500337609724,0.8474004051316678,0.8342336259284268,15.112356515867656,0
link_bridge_a1p00_p0p06,1.0,0.06,all,50,7405,6228,1177,0.8410533423362593,0.8979068197164078,0.8972991222147197,29.869412559081702,0
link_bridge_a1p15_p0p00,1.15,0.0,train,5,5183,970,4213,0.1871502990546016,0.6056338028169014,0.4046884043989967,4.710013505691684,0
link_bridge_a1p15_p0p00,1.15,0.0,train,10,5183,2278,2905,0.4395137950993633,0.7486011962184064,0.6228053251012927,9.265676249276481,0
link_bridge_a1p15_p0p00,1.15,0.0,train,20,5183,3313,1870,0.6392050935751495,0.8331082384719275,0.7680879799344009,18.22554505112869,0
link_bridge_a1p15_p0p00,1.15,0.0,train,50,5183,4308,875,0.8311788539455913,0.8967779278410187,0.8914721203935945,31.037622998263554,0
link_bridge_a1p15_p0p00,1.15,0.0,valid,5,1110,193,917,0.17387387387387387,0.572972972972973,0.3801801801801802,4.7144144144144144,0
link_bridge_a1p15_p0p00,1.15,0.0,valid,10,1110,487,623,0.43873873873873875,0.7243243243243244,0.6108108108108108,9.250450450450451,0
link_bridge_a1p15_p0p00,1.15,0.0,valid,20,1110,706,404,0.6360360360360361,0.8198198198198198,0.7612612612612613,18.163063063063063,0
link_bridge_a1p15_p0p00,1.15,0.0,valid,50,1110,908,202,0.818018018018018,0.8936936936936937,0.8828828828828829,30.71891891891892,0
link_bridge_a1p15_p0p00,1.15,0.0,test,5,1112,192,920,0.17266187050359713,0.5962230215827338,0.39388489208633093,4.724820143884892,0
link_bridge_a1p15_p0p00,1.15,0.0,test,10,1112,498,614,0.447841726618705,0.7544964028776978,0.6290467625899281,9.231115107913668,0
link_bridge_a1p15_p0p00,1.15,0.0,test,20,1112,726,386,0.6528776978417267,0.829136690647482,0.7715827338129496,18.133093525179856,0
link_bridge_a1p15_p0p00,1.15,0.0,test,50,1112,936,176,0.841726618705036,0.89568345323741,0.8965827338129496,30.804856115107913,0
link_bridge_a1p15_p0p00,1.15,0.0,all,5,7405,1355,6050,0.18298446995273465,0.59932478055368,0.3993923024983119,4.712896691424713,0
link_bridge_a1p15_p0p00,1.15,0.0,all,10,7405,3263,4142,0.44064821066846727,0.7458474004051316,0.6219446320054017,9.25820391627279,0
link_bridge_a1p15_p0p00,1.15,0.0,all,20,7405,4745,2660,0.6407832545577312,0.8305199189736664,0.7675894665766374,18.20229574611749,0
link_bridge_a1p15_p0p00,1.15,0.0,all,50,7405,6152,1253,0.8307900067521945,0.8961512491559757,0.8909520594193113,30.95489534098582,0
link_bridge_a1p15_p0p03,1.15,0.03,train,5,5183,971,4212,0.1873432375072352,0.5867258344588077,0.39398032027783136,4.7086629365232495,0
link_bridge_a1p15_p0p03,1.15,0.03,train,10,5183,2290,2893,0.4418290565309666,0.7445494887131006,0.6216476943854911,9.2560293266448,0
link_bridge_a1p15_p0p03,1.15,0.03,train,20,5183,3328,1855,0.6420991703646537,0.8325294231140267,0.769535018329153,18.19563959097048,0
link_bridge_a1p15_p0p03,1.15,0.03,train,50,5183,4308,875,0.8311788539455913,0.897163804746286,0.8915685896199113,31.02720432182134,0
link_bridge_a1p15_p0p03,1.15,0.03,valid,5,1110,194,916,0.17477477477477477,0.5621621621621622,0.3747747747747748,4.713513513513513,0
link_bridge_a1p15_p0p03,1.15,0.03,valid,10,1110,489,621,0.44054054054054054,0.718018018018018,0.6067567567567568,9.240540540540541,0
link_bridge_a1p15_p0p03,1.15,0.03,valid,20,1110,704,406,0.6342342342342342,0.8171171171171171,0.7599099099099099,18.13963963963964,0
link_bridge_a1p15_p0p03,1.15,0.03,valid,50,1110,908,202,0.818018018018018,0.8936936936936937,0.8828828828828829,30.70900900900901,0
link_bridge_a1p15_p0p03,1.15,0.03,test,5,1112,196,916,0.17625899280575538,0.5827338129496403,0.381294964028777,4.722122302158273,0
link_bridge_a1p15_p0p03,1.15,0.03,test,10,1112,504,608,0.45323741007194246,0.7464028776978417,0.625,9.215827338129497,0
link_bridge_a1p15_p0p03,1.15,0.03,test,20,1112,727,385,0.6537769784172662,0.8309352517985612,0.7720323741007195,18.105215827338128,0
link_bridge_a1p15_p0p03,1.15,0.03,test,50,1112,938,174,0.8435251798561151,0.89568345323741,0.8974820143884892,30.78956834532374,0
link_bridge_a1p15_p0p03,1.15,0.03,all,5,7405,1361,6044,0.1837947332883187,0.5824442943956786,0.38919648885887914,4.711411208642809,0
link_bridge_a1p15_p0p03,1.15,0.03,all,10,7405,3283,4122,0.4433490884537475,0.7408507765023633,0.6199189736664416,9.247670492910196,0
link_bridge_a1p15_p0p03,1.15,0.03,all,20,7405,4759,2646,0.6426738690074274,0.8299797434166104,0.7684672518568535,18.173666441593518,0
