split,original_id,source_docs,source_link_count,linked_doc_count,support_titles_in_linked_docs_count,support_titles_in_linked_docs_rate
train,5a74106b55429979e288289e,10,38,28,1,0.5
train,5a7412b655429979e28828a1,10,47,39,1,0.5
train,5a7414d855429929fddd83db,10,105,65,1,0.5
train,5a7415cf55429979e28828a6,10,71,33,1,0.5
train,5a74325055429979e28828b3,10,51,27,0,0.0
train,5a74524455429979e28828f6,10,44,34,1,0.5
train,5a74547755429979e2882900,10,60,48,0,0.0
train,5a7455eb55429979e2882908,10,45,35,1,0.5
train,5a7458ff55429979e2882918,10,76,53,2,1.0
train,5a74594a55429974ef308be1,10,36,22,1,0.5
train,5a745a2955429929fddd83f8,10,54,24,1,0.5
train,5a745a6055429974ef308be4,10,43,38,0,0.0
train,5a745e1455429929fddd83fd,10,45,26,1,0.5
train,5a74639a55429929fddd8404,10,44,36,1,0.5
train,5a74655b55429974ef308bf0,10,35,22,1,0.5
train,5a74670855429929fddd840d,10,32,19,1,0.5
train,5a746abf55429929fddd8417,10,75,47,1,0.5
train,5a74701655429979e2882952,10,54,35,2,1.0
train,5a74702555429929fddd8428,10,37,23,1,0.5
train,5a7471f655429979e2882955,10,30,25,1,0.5
train,5a74760b55429974ef308c03,10,27,17,1,0.5
train,5a747a3755429974ef308c09,10,45,33,1,0.5
train,5a747a9a55429929fddd8444,10,26,16,2,1.0
train,5a74872655429979e2882978,10,32,28,1,0.5
train,5a74994a55429974ef308c2e,10,52,33,1,0.5
train,5a7499eb55429929fddd8470,10,88,69,1,0.5
train,5a749af055429979e28829b7,10,52,43,1,0.5
train,5a74a8fa55429929fddd8497,10,127,80,1,0.5
train,5a74ae6a55429916b01641c9,10,40,23,0,0.0
train,5a74b4dc55429979e2882a00,10,50,40,0,0.0
train,5a74b4e555429929fddd84c2,10,59,40,0,0.0
train,5a74b66a55429929fddd84cb,10,20,14,0,0.0
train,5a74bc1555429929fddd84dd,10,55,35,2,1.0
train,5a74bdce55429929fddd84e1,10,34,25,1,0.5
train,5a74be0b5542996c70cfadc8,10,53,38,1,0.5
train,5a74be7a55429929fddd84e4,10,37,30,1,0.5
train,5a74bfa55542996c70cfadcf,10,57,49,1,0.5
train,5a74c1c05542996c70cfadd8,10,71,50,1,0.5
train,5a74c2bd5542996c70cfadda,10,33,18,0,0.0
train,5a74c3f455429979e2882a0a,10,43,33,1,0.5
train,5a74c6a655429974ef308c5d,10,20,13,1,0.5
train,5a74c85055429916b0164218,10,15,6,0,0.0
train,5a74ce9655429974ef308c6c,10,44,25,1,0.5
train,5a74cfed5542993748c896ea,10,41,19,1,0.5
train,5a74d4f355429974ef308c79,10,38,25,1,0.5
train,5a74d64055429916b0164223,10,44,25,1,0.5
train,5a74d92555429929fddd84fa,10,44,35,1,0.5
train,5a74d9c555429929fddd84fb,10,22,13,1,0.5
train,5a74e5aa5542996c70cfae2e,10,53,42,2,1.0
train,5a74e93e55429974ef308c92,10,30,20,1,0.5
train,5a74e9c255429974ef308c93,10,33,27,0,0.0
train,5a74ee175542996c70cfae41,10,33,21,1,0.5
train,5a74f3f55542993748c8974b,10,30,23,0,0.0
train,5a74f7405542996c70cfae59,10,53,22,1,0.5
train,5a74f7f15542993748c89765,10,38,27,2,1.0
train,5a74f8235542993748c89766,10,30,25,1,0.5
train,5a74fd6d5542993748c8977d,10,43,30,1,0.5
train,5a7502345542993748c89795,10,88,38,2,1.0
train,5a7503945542996c70cfae76,10,67,38,1,0.5
train,5a7506f455429916b0164240,10,30,15,1,0.5
train,5a7507455542993748c8979d,10,66,47,0,0.0
train,5a75083b5542996c70cfae7e,10,53,39,1,0.5
train,5a7509175542993748c897a3,10,40,28,1,0.5
train,5a75092b55429916b0164242,10,30,21,1,0.5
train,5a750d315542996c70cfae84,10,26,17,0,0.0
train,5a750de95542993748c897ac,10,58,42,1,0.5
train,5a75140b5542996c70cfae87,10,38,21,1,0.5
train,5a7518cb55429916b0164259,10,80,33,1,0.5
train,5a751bbe5542993748c897ba,10,69,54,2,1.0
train,5a75227955429929fddd8508,10,61,29,2,1.0
train,5a7525405542993748c897ce,10,25,9,1,0.5
train,5a7526945542993748c897d2,10,41,32,1,0.5
train,5a752fb75542993748c897df,10,51,24,0,0.0
train,5a75321555429916b0164290,10,20,10,0,0.0
train,5a75357c5542996c70cfaeab,10,25,15,1,0.5
train,5a75383a5542996c70cfaeb3,10,27,22,0,0.0
train,5a753c8c55429916b01642ab,10,52,35,1,0.5
train,5a753ff455429916b01642bc,10,27,20,2,1.0
train,5a7542425542996c70cfaecc,10,24,16,2,1.0
train,5a7543d555429916b01642ce,10,62,39,2,1.0
train,5a75495a5542996c70cfaed8,10,35,23,1,0.5
train,5a7553a95542996c70cfaedf,10,56,37,0,0.0
train,5a7555215542996c70cfaee1,10,41,35,0,0.0
train,5a7558425542992db9473647,10,45,24,0,0.0
train,5a755f0a5542996c70cfaee7,10,59,45,1,0.5
train,5a7560585542992d0ec05f76,10,26,22,1,0.5
train,5a7561495542992db947364e,10,85,52,1,0.5
train,5a75642c5542996c70cfaeed,10,52,39,1,0.5
train,5a75675d5542992d0ec05f87,10,39,25,2,1.0
train,5a7568805542992db9473658,10,50,28,1,0.5
train,5a756b175542996c70cfaef7,10,60,38,2,1.0
train,5a756fa15542996c70cfaefb,10,29,22,1,0.5
train,5a7570a65542996c70cfaefd,10,30,21,1,0.5
train,5a7571095542992d0ec05f97,10,47,36,0,0.0
train,5a7571135542992d0ec05f98,10,24,15,1,0.5
train,5a7571835542992db9473669,10,60,24,2,1.0
train,5a7574e25542996c70cfaf01,10,25,12,1,0.5
train,5a758ba75542992db9473677,10,28,25,0,0.0
train,5a758c925542992db947367b,10,50,40,2,1.0
train,5a758ce05542992db947367c,10,37,20,1,0.5
train,5a758f775542992db9473682,10,25,18,1,0.5
train,5a75a0725542992d0ec05fc9,10,74,44,1,0.5
train,5a75a4135542992d0ec05fcd,10,53,44,1,0.5
train,5a75abbb5542992d0ec05fd9,10,68,35,1,0.5
train,5a75ac415542992d0ec05fdb,10,51,26,1,0.5
train,5a75b7475542992d0ec05feb,10,45,37,2,1.0
train,5a75b7bd5542992d0ec05fec,10,30,21,1,0.5
train,5a75c02f5542992db94736b4,10,52,40,1,0.5
train,5a75d00a5542992db94736d1,10,35,9,1,0.5
train,5a75d45f5542994ccc918630,10,39,29,1,0.5
train,5a75d8a3554299109176e5a6,10,31,11,0,0.0
train,5a75d8dc5542992db94736f0,10,34,20,1,0.5
train,5a75d9b4554299109176e5a7,10,28,25,1,0.5
train,5a75d9c05542992db94736f6,10,63,28,1,0.5
train,5a75da6d5542992db94736fa,10,66,49,1,0.5
train,5a75e05c55429976ec32bc5f,10,50,39,1,0.5
train,5a75e06155429976ec32bc60,10,42,35,1,0.5
train,5a75e29f5542992d0ec0600c,10,20,17,1,0.5
train,5a75e33855429976ec32bc74,10,57,25,0,0.0
train,5a75e3845542994ccc91864e,10,39,31,1,0.5
train,5a75e60e55429976ec32bc88,10,34,17,1,0.5
train,5a75e7b255429976ec32bc95,10,51,25,0,0.0
train,5a75e814554299109176e5c7,10,29,26,0,0.0
train,5a75eb125542994ccc918659,10,44,27,0,0.0
train,5a75ebfc5542992d0ec06018,10,70,43,1,0.5
train,5a75eca555429976ec32bca8,10,73,26,1,0.5
train,5a75eda35542994ccc918661,10,39,18,0,0.0
train,5a75f0bf5542994ccc91866b,10,40,24,1,0.5
train,5a75f1a755429976ec32bcb1,10,50,38,1,0.5
train,5a75f32055429976ec32bcb7,10,38,32,1,0.5
train,5a75f79555429976ec32bcca,10,52,34,0,0.0
train,5a75f7db5542994ccc918670,10,75,42,0,0.0
train,5a75fa14554299109176e5dc,10,60,32,1,0.5
train,5a7600275542994ccc91867a,10,35,26,0,0.0
train,5a7602d8554299109176e5fb,10,64,38,1,0.5
train,5a76067e55429976ec32bce9,10,56,46,2,1.0
train,5a7607b6554299109176e619,10,73,19,0,0.0
train,5a760ab65542994ccc918697,10,37,28,1,0.5
train,5a760faa5542994ccc9186a8,10,66,36,2,1.0
train,5a76139b5542994ccc9186be,10,98,67,1,0.5
train,5a7613c15542994ccc9186bf,10,28,21,2,1.0
train,5a7616755542992d0ec06028,10,58,32,1,0.5
train,5a7618d85542994ccc9186cf,10,50,32,1,0.5
train,5a7619765542992db9473728,10,27,24,0,0.0
train,5a761e855542994ccc9186e0,10,39,23,1,0.5
train,5a7622d75542994ccc9186f1,10,43,24,1,0.5
train,5a76244c554299109176e65d,10,55,34,0,0.0
train,5a7625c7554299109176e668,10,46,29,1,0.5
train,5a762a645542992d0ec0603d,10,43,27,2,1.0
train,5a762d53554299109176e6a7,10,131,97,2,1.0
train,5a762f4755429976ec32bd44,10,54,45,1,0.5
train,5a7630105542992d0ec0605a,10,31,24,1,0.5
train,5a7631c05542994ccc91870b,10,33,24,0,0.0
train,5a7631cd5542994ccc91870c,10,31,23,1,0.5
train,5a7633ad5542992db9473741,10,42,31,1,0.5
train,5a7633ff5542994ccc918712,10,33,23,1,0.5
train,5a7634f155429976ec32bd6b,10,77,47,2,1.0
train,5a76364d5542994ccc918719,10,38,29,1,0.5
train,5a7636fb55429976ec32bd79,10,43,32,2,1.0
train,5a76394c5542994ccc918725,10,46,37,1,0.5
train,5a763986554299109176e6bd,10,69,51,1,0.5
train,5a76404b5542994ccc91873d,10,40,33,1,0.5
train,5a7642f7554299109176e6e8,10,50,38,0,0.0
train,5a7643675542994ccc918747,10,26,14,2,1.0
train,5a7647505542992d0ec06089,10,56,48,1,0.5
train,5a7647b85542992d0ec0608a,10,48,39,1,0.5
train,5a764c0b55429976ec32bd89,10,66,46,2,1.0
train,5a7651825542992d0ec060a3,10,39,20,0,0.0
train,5a7652785542992db9473760,10,33,24,1,0.5
train,5a76538d5542992db9473764,10,53,40,1,0.5
train,5a765fe85542992d0ec060c5,10,37,33,1,0.5
train,5a7662745542992db9473786,10,28,23,1,0.5
train,5a7698c2554299373536010d,10,70,38,2,1.0
train,5a769b0d5542993569682c50,10,46,37,1,0.5
train,5a769b115542993569682c51,10,53,44,2,1.0
train,5a76b56d554299373536017b,10,45,34,1,0.5
train,5a76c98855429972597f13d0,10,59,47,1,0.5
train,5a76cb9b55429966f1a36bf2,10,35,22,2,1.0
train,5a76d15e55429966f1a36bfa,10,52,41,1,0.5
train,5a76db3555429972597f13e7,10,51,33,0,0.0
train,5a76f22055429972597f13fa,10,38,31,1,0.5
train,5a76f5b155429972597f1400,10,30,21,1,0.5
train,5a76f7e855429972597f1404,10,26,14,0,0.0
train,5a76fda05542994aec3b71b0,10,26,22,1,0.5
train,5a76fe7b5542994aec3b71b2,10,44,38,2,1.0
train,5a770bb855429937353601b5,10,79,30,0,0.0
train,5a770d785542993569682cad,10,33,24,1,0.5
train,5a77121a5542994aec3b71db,10,47,42,0,0.0
train,5a77137455429972597f142a,10,60,36,2,1.0
train,5a7716ee55429937353601cc,10,38,29,0,0.0
train,5a77174f55429966f1a36c4c,10,50,34,0,0.0
train,5a771d6155429966f1a36c6d,10,29,23,1,0.5
train,5a771de05542993569682cc8,10,51,22,1,0.5
train,5a771e0b55429966f1a36c75,10,67,47,1,0.5
train,5a771e3255429966f1a36c78,10,36,21,1,0.5
train,5a771ead55429966f1a36c7c,10,67,43,2,1.0
train,5a7720d05542993569682cde,10,45,34,2,1.0
train,5a7723ce55429966f1a36c9f,10,27,13,0,0.0
train,5a7723fa55429966f1a36ca0,10,25,20,0,0.0
train,5a7724715542994aec3b71fd,10,46,30,2,1.0
train,5a772c395542993735360207,10,61,27,0,0.0
train,5a772c925542993735360208,10,29,20,0,0.0
train,5a772e465542994aec3b7209,10,62,54,1,0.5
train,5a77309d55429972597f1487,10,31,20,0,0.0
train,5a7730f255429972597f148c,10,34,30,1,0.5
train,5a77321355429972597f1493,10,42,33,0,0.0
train,5a77322055429972597f1494,10,42,38,0,0.0
train,5a7732dc55429972597f149b,10,58,38,0,0.0
train,5a7735f55542994aec3b7226,10,60,30,1,0.5
train,5a7736bc554299373536021b,10,37,28,1,0.5
train,5a7736ef55429972597f14a7,10,45,23,1,0.5
train,5a77372b554299373536021c,10,135,28,1,0.5
train,5a77388e55429966f1a36cb1,10,48,26,1,0.5
train,5a773ae055429972597f14b0,10,41,32,1,0.5
train,5a773c5c55429966f1a36cbb,10,42,27,1,0.5
train,5a773c7755429972597f14b5,10,50,26,1,0.5
train,5a773e3955429972597f14c9,10,43,20,0,0.0
train,5a773ec355429966f1a36ccb,10,42,30,2,1.0
train,5a773ec45542994aec3b7245,10,39,25,2,1.0
train,5a77415b55429966f1a36cd2,10,43,32,1,0.5
train,5a7744e45542993569682d37,10,33,20,2,1.0
train,5a77452155429972597f14e1,10,36,24,0,0.0
train,5a77474855429972597f14e4,10,41,31,1,0.5
train,5a7747e15542994aec3b7266,10,65,32,2,1.0
train,5a774a9855429972597f14ea,10,66,46,2,1.0
train,5a774c0155429966f1a36ce2,10,24,11,0,0.0
train,5a774e9c55429972597f14f3,10,56,46,1,0.5
train,5a7750a155429966f1a36cef,10,38,32,0,0.0
train,5a7750de55429966f1a36cf0,10,44,10,0,0.0
train,5a77519c55429972597f14fa,10,48,38,1,0.5
train,5a7754d85542993735360234,10,50,37,1,0.5
train,5a7755c65542993569682d54,10,43,32,1,0.5
train,5a7757215542993569682d58,10,45,36,0,0.0
train,5a7758895542994aec3b729c,10,55,30,1,0.5
