path,size_bytes,size_mb,role,lightweight_baseline_recommendation
data/processed/hotpotqa_dev_raw_1800.jsonl,582498,0.556,processed_splits,eligible_small_artifact
data/features/hotpotqa_global_embedding_1800/valid_features.jsonl,384416,0.367,features,eligible_small_artifact
data/features/hotpotqa_global_embedding_1800/test_features.jsonl,383443,0.366,features,eligible_small_artifact
data/features/hotpotqa_embedding_1800/valid_features.jsonl,382449,0.365,features,eligible_small_artifact
data/features/hotpotqa_embedding_1800/test_features.jsonl,381248,0.364,features,eligible_small_artifact
data/features/hotpotqa_dev_sufficiency_500_clean_features.jsonl,304335,0.29,features,eligible_small_artifact
data/outputs/hotpotqa_dev_risk_500_clean.jsonl,178831,0.171,model_or_qa_outputs,eligible_small_artifact
data/processed/hotpotqa_dev_raw_500_clean.jsonl,162039,0.155,processed_splits,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_v2/main_test_risk.jsonl,160708,0.153,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_scores_500_clean.jsonl,159831,0.152,model_or_qa_outputs,eligible_small_artifact
data/processed/hotpotqa_dev_raw_500.jsonl,156270,0.149,processed_splits,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_v3/main_test_risk.jsonl,155224,0.148,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/identity_test_risk.jsonl,124967,0.119,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/identity_valid_risk.jsonl,124919,0.119,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/isotonic_test_risk.jsonl,124528,0.119,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_test_risk_1800.jsonl,124528,0.119,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/isotonic_valid_risk.jsonl,124368,0.119,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_valid_risk_1800.jsonl,124368,0.119,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/platt_test_risk.jsonl,123355,0.118,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/platt_valid_risk.jsonl,123312,0.118,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_decisions_500_clean.jsonl,108500,0.103,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_test_scores_1800.jsonl,85981,0.082,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_valid_scores_1800.jsonl,85919,0.082,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/platt_test_decisions.jsonl,66777,0.064,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/platt_valid_decisions.jsonl,66768,0.064,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/identity_test_decisions.jsonl,66765,0.064,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/identity_valid_decisions.jsonl,66752,0.064,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/isotonic_test_decisions.jsonl,66281,0.063,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_v2/main_test_decisions.jsonl,66281,0.063,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_test_decisions_1800.jsonl,66281,0.063,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_v3/main_test_decisions.jsonl,66255,0.063,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/isotonic_valid_decisions.jsonl,66151,0.063,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_valid_decisions_1800.jsonl,66151,0.063,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_global_embedding_rag_1800/main_test_decisions.jsonl,39539,0.038,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_embedding_rag_1800/main_test_decisions.jsonl,37412,0.036,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_global_embedding_rag_1800/main_test_risk.jsonl,28447,0.027,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_embedding_rag_1800/main_test_risk.jsonl,26339,0.025,model_or_qa_outputs,eligible_small_artifact
data/processed/debug_embedding_splits_3/train.jsonl,11559,0.011,processed_splits,eligible_small_artifact
data/retrieval/debug_embedding_retrieval_3.jsonl,11559,0.011,retrieval_records,eligible_small_artifact
data/outputs/hotpotqa_real_rag_smoke/real_rag_retrieval_records.jsonl,9735,0.009,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_embedding_rag_1800/prepare_embedding_retrieval.log,8484,0.008,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_global_real_rag_qa_eval_strict_100/run_global_real_rag_qa_eval_strict_100.log,7433,0.007,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_real_rag_qa_eval_strict_100/run_real_rag_qa_eval_strict_100.log,7317,0.007,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_real_rag_qa_eval_strict/run_real_rag_qa_eval_strict.log,3846,0.004,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_real_rag_qa_eval/run_real_rag_qa_eval.log,3808,0.004,model_or_qa_outputs,eligible_small_artifact
data/retrieval/tiny_retrieval.jsonl,2756,0.003,retrieval_records,eligible_small_artifact
data/outputs/hotpotqa_dev_lr_1800.pkl,1764,0.002,model_or_qa_outputs,eligible_small_artifact
data/features/tiny_features.jsonl,1609,0.002,features,eligible_small_artifact
data/features/tiny_features_v2.jsonl,1609,0.002,features,eligible_small_artifact
data/processed/hotpotqa_global_hardneg_splits_full_dev/global_hardneg_retrieval_summary.json,1522,0.001,processed_splits,eligible_small_artifact
data/outputs/tiny_risk.jsonl,928,0.001,model_or_qa_outputs,eligible_small_artifact
data/outputs/tiny_risk_v2.jsonl,928,0.001,model_or_qa_outputs,eligible_small_artifact
data/processed/hotpotqa_global_embedding_splits_1800/global_embedding_retrieval_summary.json,892,0.001,processed_splits,eligible_small_artifact
data/processed/hotpotqa_embedding_splits_1800/embedding_retrieval_summary.json,862,0.001,processed_splits,eligible_small_artifact
data/outputs/tiny_scores.jsonl,814,0.001,model_or_qa_outputs,eligible_small_artifact
data/outputs/tiny_scores_v2.jsonl,814,0.001,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_isotonic_1800.pkl,811,0.001,model_or_qa_outputs,eligible_small_artifact
data/processed/debug_embedding_splits_3/embedding_retrieval_summary.json,652,0.001,processed_splits,eligible_small_artifact
data/outputs/tiny_decisions.jsonl,507,0.0,model_or_qa_outputs,eligible_small_artifact
data/outputs/tiny_decisions_v2.jsonl,507,0.0,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_lr_1800_meta.json,419,0.0,model_or_qa_outputs,eligible_small_artifact
data/labels/tiny_labels.jsonl,360,0.0,data_artifact,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/isotonic_threshold.json,351,0.0,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/identity_threshold.json,350,0.0,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_1800_calibration_compare/platt_threshold.json,349,0.0,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_model_meta_500_clean.json,255,0.0,model_or_qa_outputs,eligible_small_artifact
data/outputs/tiny_model_meta.json,255,0.0,model_or_qa_outputs,eligible_small_artifact
data/outputs/tiny_model_meta_v2.json,255,0.0,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_calibration_1800.json,240,0.0,model_or_qa_outputs,eligible_small_artifact
data/outputs/hotpotqa_dev_threshold_1800.json,192,0.0,model_or_qa_outputs,eligible_small_artifact
data/processed/debug_embedding_splits_3/test.jsonl,0,0.0,processed_splits,eligible_small_artifact
data/processed/debug_embedding_splits_3/valid.jsonl,0,0.0,processed_splits,eligible_small_artifact
